experiment,imgsz,parameters,gflops,weight_mb,training_seconds,peak_allocated_vram_gib,precision,recall,map50,map50_95,model_inference_ms,end_to_end_ms
YOLO26n@640,640,2376201,5.2,5.123906135559082,278.45465087890625,2.6954894065856934,0.6943956826140492,0.7795808285184844,0.7710950597199192,0.5666616422543476,6.314265999990312,30.080088000004253
YOLO26s@640,640,9467889,20.5,19.358586311340332,285.76119017601013,4.784857273101807,0.7373065940119055,0.7926009249649109,0.8220657623774714,0.6065428007070922,6.963516000023446,29.73394599999665
YOLO26n@960,960,2376201,11.7,5.162114143371582,532.8319807052612,3.096278190612793,0.779843907223359,0.7669034300299867,0.8257384042571415,0.6083129599434405,7.085763999994015,31.829515999997966
